PSNR: inf, LPIPS: 0.0, FVD: 0.0, BPP: 2.7479654947916665
PSNR: 52.27909478101951, LPIPS: 0.0001619961258256808, FVD: 3.53728846216202, BPP: 2.7564290364583335
PSNR: 51.687160854869894, LPIPS: 0.00018652905419003218, FVD: 4.860437102520981, BPP: 2.630143229166667
PSNR: 50.95613349727047, LPIPS: 0.0002317617618246004, FVD: 11.14311052796646, BPP: 2.4778483072916666
PSNR: 50.32943950523038, LPIPS: 0.00027925209724344313, FVD: 7.205483486083509, BPP: 2.3235188802083333
PSNR: 49.70075659671905, LPIPS: 0.00033778237411752343, FVD: 10.701065751497048, BPP: 2.150162760416667
PSNR: 48.93265578918621, LPIPS: 0.0004291036748327315, FVD: 15.086754244655905, BPP: 1.9504557291666667
PSNR: 48.26284956599253, LPIPS: 0.0004908752744086087, FVD: 12.09281077753169, BPP: 1.754833984375
PSNR: 47.54509921893926, LPIPS: 0.000613796291872859, FVD: 12.898125872708121, BPP: 1.5543131510416666
PSNR: 46.87340162940726, LPIPS: 0.0007553424220532179, FVD: 23.041732980187618, BPP: 1.3766927083333333
PSNR: 46.295884127990924, LPIPS: 0.0009180039050988853, FVD: 19.346650267910718, BPP: 1.2281087239583333
PSNR: 45.7025007683621, LPIPS: 0.0011688736267387867, FVD: 10.896015710318634, BPP: 1.077099609375
PSNR: 45.09841738559219, LPIPS: 0.001377312932163477, FVD: 22.571043941497084, BPP: 0.9527018229166667
PSNR: 44.539635332145174, LPIPS: 0.0015852670185267925, FVD: 24.193318904515216, BPP: 0.8334147135416666
PSNR: 43.91784888707671, LPIPS: 0.002053771400824189, FVD: 27.447021640570973, BPP: 0.7329264322916667
PSNR: 43.33775314206357, LPIPS: 0.0023237799759954214, FVD: 60.10476312297831, BPP: 0.6437337239583333
PSNR: 42.74141794220504, LPIPS: 0.0028476910665631294, FVD: 73.28161475108126, BPP: 0.5640299479166667
PSNR: 42.12354057151079, LPIPS: 0.003326514270156622, FVD: 65.94198010203165, BPP: 0.488623046875
PSNR: 41.4915843354268, LPIPS: 0.004260383080691099, FVD: 76.90632470072137, BPP: 0.4256184895833333
PSNR: 40.8771656554736, LPIPS: 0.005123692099004984, FVD: 85.53231979969222, BPP: 0.3738606770833333
PSNR: 40.274275501440584, LPIPS: 0.006033049896359444, FVD: 116.06776184640228, BPP: 0.32522786458333336
PSNR: 39.64190035247417, LPIPS: 0.006752537097781897, FVD: 127.32965907913405, BPP: 0.28839518229166666
PSNR: 39.13198948840918, LPIPS: 0.00824781320989132, FVD: 224.7512913004549, BPP: 0.251806640625
PSNR: 38.47621138386503, LPIPS: 0.009471197612583637, FVD: 225.76450226522354, BPP: 0.22062174479166666
PSNR: 37.94286031035839, LPIPS: 0.010900218971073627, FVD: 219.75640518069153, BPP: 0.19425455729166666
PSNR: 37.458271284487196, LPIPS: 0.011508104391396046, FVD: 310.4037971157677, BPP: 0.17233072916666667
PSNR: 36.9595021699545, LPIPS: 0.013740822672843933, FVD: 526.6135912417072, BPP: 0.15266927083333334
PSNR: 36.44797293760057, LPIPS: 0.0145406574010849, FVD: 538.7883740454034, BPP: 0.141259765625
PSNR: 36.01955527236707, LPIPS: 0.016305794939398766, FVD: 573.7614855698707, BPP: 0.12527669270833333
PSNR: 35.511694586917805, LPIPS: 0.016728511080145836, FVD: 797.9016290024747, BPP: 0.115576171875
PSNR: 35.04416788635703, LPIPS: 0.020104767754673958, FVD: 1078.4148643931628, BPP: 0.10196940104166667
PSNR: 34.733005471676535, LPIPS: 0.021618913859128952, FVD: 1123.496099410544, BPP: 0.09319661458333334
PSNR: 34.14886768106017, LPIPS: 0.024278787896037102, FVD: 1396.8026232331802, BPP: 0.08429361979166666
PSNR: 33.57734736658666, LPIPS: 0.027776842936873436, FVD: 1509.1792660420203, BPP: 0.07648111979166666
PSNR: 33.35220151820021, LPIPS: 0.02777617610991001, FVD: 1937.7662263159084, BPP: 0.07166341145833334
PSNR: 32.69038610866972, LPIPS: 0.0311031024903059, FVD: 2096.132941105615, BPP: 0.06622721354166666
PSNR: 32.34749486935213, LPIPS: 0.03310266509652138, FVD: 2221.9632412791816, BPP: 0.061442057291666664
PSNR: 31.786245065376647, LPIPS: 0.03616800159215927, FVD: 3227.2503670703427, BPP: 0.057600911458333334
PSNR: 31.418317693299525, LPIPS: 0.04643716663122177, FVD: 3163.041825879127, BPP: 0.055224609375
PSNR: 30.78928177597133, LPIPS: 0.04585300758481026, FVD: 4028.7804155781296, BPP: 0.05138346354166667
PSNR: 30.379444854088025, LPIPS: 0.04933002218604088, FVD: 4035.666469299532, BPP: 0.05022786458333333
PSNR: 29.791145857349797, LPIPS: 0.05800643935799599, FVD: 4594.104603787201, BPP: 0.04729817708333333
PSNR: 29.443037087267022, LPIPS: 0.05853932350873947, FVD: 5153.007509616615, BPP: 0.045638020833333334
PSNR: 29.26650286844606, LPIPS: 0.05972873792052269, FVD: 5286.147327240355, BPP: 0.044205729166666666
PSNR: 29.091516851790576, LPIPS: 0.059347476810216904, FVD: 5295.478150378245, BPP: 0.04287109375
PSNR: 28.8614689857385, LPIPS: 0.06884726136922836, FVD: 6056.898590078958, BPP: 0.041731770833333334
PSNR: 28.497934734367806, LPIPS: 0.06704842299222946, FVD: 6717.9578116526745, BPP: 0.041585286458333336
PSNR: 28.460028847118256, LPIPS: 0.06420795619487762, FVD: 6315.729115349691, BPP: 0.041357421875
PSNR: 28.295477441653777, LPIPS: 0.07011178135871887, FVD: 8680.67177239836, BPP: 0.04104817708333333
PSNR: 28.082837815246343, LPIPS: 0.07216212153434753, FVD: 6070.009442394445, BPP: 0.040576171875
PSNR: 27.608333152306688, LPIPS: 0.08082231134176254, FVD: 7783.231233293706, BPP: 0.03986002604166667
PSNR: 27.551501413276046, LPIPS: 0.08488869667053223, FVD: 7381.71322989355, BPP: 0.039534505208333334
