PSNR: 56.054402036698, LPIPS: 5.705338480765931e-05, FVD: 1.1747617890381545, BPP: 3.000504557291667
PSNR: 55.18807108296006, LPIPS: 7.294763781828806e-05, FVD: 1.2667384849117846, BPP: 2.862320963541667
PSNR: 54.20690019956039, LPIPS: 9.645516547607258e-05, FVD: 3.6171111324301197, BPP: 2.699609375
PSNR: 53.16390268187431, LPIPS: 0.00013539541396312416, FVD: 4.715536231108404, BPP: 2.485986328125
PSNR: 52.151943049839204, LPIPS: 0.0001768853544490412, FVD: 8.43575373984423, BPP: 2.2409342447916667
PSNR: 51.33683108320685, LPIPS: 0.000215170017327182, FVD: 10.106118459699056, BPP: 2.021988932291667
PSNR: 50.5461818768382, LPIPS: 0.00025364896282553673, FVD: 8.641385840505844, BPP: 1.8009765625
PSNR: 49.83275206863428, LPIPS: 0.00031527402461506426, FVD: 12.099831726746174, BPP: 1.6127766927083333
PSNR: 49.14740015575085, LPIPS: 0.0003693809558171779, FVD: 15.242612448159443, BPP: 1.4411295572916667
PSNR: 48.55584070041779, LPIPS: 0.0004599478270392865, FVD: 25.93215186452702, BPP: 1.288232421875
PSNR: 47.917579459755565, LPIPS: 0.0005624467157758772, FVD: 17.875526478125572, BPP: 1.1417154947916666
PSNR: 47.35372790126212, LPIPS: 0.0006511621177196503, FVD: 36.872461643965416, BPP: 1.029150390625
PSNR: 46.85663017738505, LPIPS: 0.0007531159208156168, FVD: 39.6493827842376, BPP: 0.92705078125
PSNR: 46.29217425225629, LPIPS: 0.0008778406190685928, FVD: 42.82970726062, BPP: 0.8257486979166667
PSNR: 45.711043906671016, LPIPS: 0.0010335749248042703, FVD: 65.3312988913425, BPP: 0.733837890625
PSNR: 45.166505900645305, LPIPS: 0.0012238324852660298, FVD: 95.80062509775603, BPP: 0.6553873697916667
PSNR: 44.584536819856645, LPIPS: 0.0014783474616706371, FVD: 109.84046145411183, BPP: 0.5825358072916667
PSNR: 43.982787737395384, LPIPS: 0.0017005630070343614, FVD: 90.08410292844451, BPP: 0.51943359375
PSNR: 43.46025541525202, LPIPS: 0.0020743694622069597, FVD: 103.986249337114, BPP: 0.46404622395833334
PSNR: 42.847979158636385, LPIPS: 0.0025623333640396595, FVD: 118.00310887459727, BPP: 0.41277669270833334
PSNR: 42.32824508360527, LPIPS: 0.0028684218414127827, FVD: 123.89610768846657, BPP: 0.3627115885416667
PSNR: 41.73099704929573, LPIPS: 0.0031239197123795748, FVD: 152.34595771755193, BPP: 0.3252766927083333
PSNR: 41.15763443943672, LPIPS: 0.004022292327135801, FVD: 192.1111033352432, BPP: 0.2937825520833333
PSNR: 40.73540419066112, LPIPS: 0.004520972725003958, FVD: 254.0336161961268, BPP: 0.2605794270833333
PSNR: 40.088787575257946, LPIPS: 0.005810409318655729, FVD: 185.25556298038353, BPP: 0.23365885416666668
PSNR: 39.630244209982706, LPIPS: 0.006645332556217909, FVD: 133.80166418572247, BPP: 0.21103515625
PSNR: 38.99785461173825, LPIPS: 0.007876974530518055, FVD: 274.51538112240473, BPP: 0.19148763020833334
PSNR: 38.521571524611694, LPIPS: 0.009043744765222073, FVD: 211.32232507438098, BPP: 0.16935221354166666
PSNR: 38.10724200609202, LPIPS: 0.010473297908902168, FVD: 204.8609848871939, BPP: 0.154248046875
PSNR: 37.60195768211064, LPIPS: 0.01233869232237339, FVD: 450.3159069180579, BPP: 0.13826497395833334
PSNR: 37.21004586239811, LPIPS: 0.013793221674859524, FVD: 441.44310361138986, BPP: 0.12947591145833334
PSNR: 36.63484660844022, LPIPS: 0.01660759560763836, FVD: 471.1805693791533, BPP: 0.11982421875
PSNR: 36.23305984699685, LPIPS: 0.017954152077436447, FVD: 581.2540315747138, BPP: 0.11023763020833334
PSNR: 35.70812209488231, LPIPS: 0.023494793102145195, FVD: 616.5958313201437, BPP: 0.103466796875
PSNR: 35.48354908095599, LPIPS: 0.02194083109498024, FVD: 834.706625249553, BPP: 0.09617513020833333
PSNR: 34.90196436750914, LPIPS: 0.025009797886013985, FVD: 1232.395319145184, BPP: 0.09117838541666666
PSNR: 34.607634979505015, LPIPS: 0.02680560201406479, FVD: 1642.028326620931, BPP: 0.08570963541666667
PSNR: 34.1522902486029, LPIPS: 0.030140306800603867, FVD: 1737.1569312720699, BPP: 0.08248697916666667
PSNR: 33.804322497817914, LPIPS: 0.029708324000239372, FVD: 1588.2006583086568, BPP: 0.08136393229166666
PSNR: 33.15764884416884, LPIPS: 0.03276222571730614, FVD: 2395.8080154749787, BPP: 0.07688802083333333
PSNR: 32.592976994877155, LPIPS: 0.03708217293024063, FVD: 2643.9469270953773, BPP: 0.07508138020833334
PSNR: 32.433820112460985, LPIPS: 0.03836731240153313, FVD: 2942.580057228254, BPP: 0.07275390625
PSNR: 31.79904150823326, LPIPS: 0.045268572866916656, FVD: 3336.765950783494, BPP: 0.070849609375
